Range,Azimuth,Polar
  0.4297,  0.0000, 45.4500,256 
  0.4297,  0.0000, 45.6750,256 
  0.4336,  0.0000, 45.9000,256 
  0.4297,  0.0000, 46.1250,256 
  0.4609,  0.0000, 46.3500,256 
  0.4336,  0.0000, 46.5750,256 
  0.4336,  0.0000, 46.8000,256 
  0.4375,  0.0000, 47.0250,256 
  0.4375,  0.0000, 47.2500,256 
  0.4336,  0.0000, 47.4750,256 
  0.4375,  0.0000, 47.7000,256 
  0.4141,  0.0000, 47.9250,256 
  0.4375,  0.0000, 48.1500,256 
  0.4375,  0.0000, 48.3750,256 
  0.4141,  0.0000, 48.6000,256 
  0.4141,  0.0000, 48.8250,256 
  0.4141,  0.0000, 49.0500,256 
  0.4375,  0.0000, 49.2750,256 
  0.4375,  0.0000, 49.5000,256 
  0.4375,  0.0000, 49.7250,256 
  0.4375,  0.0000, 49.9500,256 
  0.4375,  0.0000, 50.1750,256 
  0.4141,  0.0000, 50.4000,256 
  0.4375,  0.0000, 50.6250,256 
  0.4180,  0.0000, 50.8500,256 
  0.4141,  0.0000, 51.0750,256 
  0.4141,  0.0000, 51.3000,256 
  0.4180,  0.0000, 51.5250,256 
  0.4375,  0.0000, 51.7500,256 
  0.4375,  0.0000, 51.9750,256 
  0.4375,  0.0000, 52.2000,256 
  0.4375,  0.0000, 52.4250,256 
  0.4180,  0.0000, 52.6500,256 
  0.4141,  0.0000, 52.8750,256 
  0.4141,  0.0000, 53.1000,256 
  0.4375,  0.0000, 53.3250,256 
  0.4180,  0.0000, 53.5500,256 
  0.4141,  0.0000, 53.7750,256 
  0.4141,  0.0000, 54.0000,256 
  0.4141,  0.0000, 54.2250,256 
  0.4180,  0.0000, 54.4500,256 
  0.4180,  0.0000, 54.6750,256 
  0.4180,  0.0000, 54.9000,256 
  0.4141,  0.0000, 55.1250,256 
  0.4141,  0.0000, 55.3500,256 
  0.3945,  0.0000, 55.5750,256 
  0.4141,  0.0000, 55.8000,256 
  0.4141,  0.0000, 56.0250,256 
  0.4141,  0.0000, 56.2500,256 
  0.4141,  0.0000, 56.4750,256 
  0.4141,  0.0000, 56.7000,256 
  0.4141,  0.0000, 56.9250,256 
  0.4141,  0.0000, 57.1500,256 
  0.4141,  0.0000, 57.3750,256 
  0.4141,  0.0000, 57.6000,256 
  0.4141,  0.0000, 57.8250,256 
  0.4141,  0.0000, 58.0500,256 
  0.3945,  0.0000, 58.2750,256 
  0.3945,  0.0000, 58.5000,256 
  0.4141,  0.0000, 58.7250,256 
  0.3867,  0.0000, 58.9500,256 
  0.4141,  0.0000, 59.1750,256 
  0.3867,  0.0000, 59.4000,256 
  0.4141,  0.0000, 59.6250,256 
  0.4141,  0.0000, 59.8500,256 
  0.4141,  0.0000, 60.0750,256 
  0.4180,  0.0000, 60.3000,256 
  0.4375,  0.0000, 60.5250,256 
  0.4141,  0.0000, 60.7500,256 
  0.4375,  0.0000, 60.9750,256 
  0.4375,  0.0000, 61.2000,256 
  0.4609,  0.0000, 61.4250,256 
  0.4375,  0.0000, 61.6500,256 
  0.4141,  0.0000, 61.8750,256 
  0.4336,  0.0000, 62.1000,256 
  0.4180,  0.0000, 62.3250,256 
  0.4180,  0.0000, 62.5500,256 
  0.4180,  0.0000, 62.7750,256 
  0.3711,  0.0000, 63.0000,256 
  0.4180,  0.0000, 63.2250,256 
  0.3945,  0.0000, 63.4500,256 
  0.4180,  0.0000, 63.6750,256 
  0.4414,  0.0000, 63.9000,256 
  0.4180,  0.0000, 64.1250,256 
  0.4375,  0.0000, 64.3500,256 
  0.4102,  0.0000, 64.5750,256 
  0.4570,  0.0000, 64.8000,256 
  0.4570,  0.0000, 65.0250,256 
  0.4531,  0.0000, 65.2500,256 
  0.3984,  0.0000, 65.4750,256 
  0.4180,  0.0000, 65.7000,256 
  0.4180,  0.0000, 65.9250,256 
