x,y,z,i
0.34655243,0.0,0.8752916,128.0
0.3557867,0.0,0.8884058,128.0
0.35048798,0.0,0.8653133,128.0
0.33167085,0.0,0.80970335,128.0
0.32589322,0.0,0.78677577,128.0
0.3168889,0.0,0.75661975,128.0
0.33054173,0.0,0.78060067,128.0
0.33360454,0.0,0.7792967,128.0
0.32732928,0.0,0.75641334,128.0
0.33971477,0.0,0.7766525,128.0
0.34118512,0.0,0.77174556,128.0
0.3187174,0.0,0.71333647,128.0
0.32312107,0.0,0.71563387,128.0
0.3210308,0.0,0.70362407,128.0
0.32709888,0.0,0.70953226,128.0
0.33152932,0.0,0.7117776,128.0
0.32265553,0.0,0.68567795,128.0
0.33036885,0.0,0.69497246,128.0
0.33820337,0.0,0.7043069,128.0
0.34266853,0.0,0.70648235,128.0
0.3437245,0.0,0.701629,128.0
0.33259672,0.0,0.67221975,128.0
0.33872038,0.0,0.67788595,128.0
0.34137982,0.0,0.6765505,128.0
0.344034,0.0,0.67520475,128.0
0.34668288,0.0,0.6738485,128.0
0.33853957,0.0,0.6517164,128.0
0.34109622,0.0,0.650382,128.0
0.34364763,0.0,0.6490375,128.0
0.34619373,0.0,0.64768296,128.0
0.3375754,0.0,0.625637,128.0
0.31391403,0.0,0.57635725,128.0
0.31236908,0.0,0.56819725,128.0
0.31843096,0.0,0.57387406,128.0
0.3206821,0.0,0.57261914,128.0
0.3190412,0.0,0.5644779,128.0
0.32710183,0.0,0.57347053,128.0
0.3117912,0.0,0.5416745,128.0
0.31391594,0.0,0.5404459,128.0
0.32195204,0.0,0.54930294,128.0
0.33408386,0.0,0.564905,128.0
0.320261,0.0,0.53671026,128.0
0.31633148,0.0,0.5254249,128.0
0.32446638,0.0,0.5341784,128.0
0.32452387,0.0,0.5295748,128.0
0.36151695,0.0,0.584775,128.0
0.38037387,0.0,0.6099091,128.0
0.36402178,0.0,0.57861656,128.0
0.37047067,0.0,0.5837683,128.0
0.36645234,0.0,0.5724551,128.0
0.38139066,0.0,0.5906698,128.0
0.37732214,0.0,0.5793634,128.0
0.39463758,0.0,0.60077834,128.0
0.364629,0.0,0.55037236,128.0
0.33639777,0.0,0.5034548,128.0
0.32523972,0.0,0.48264185,128.0
0.32713252,0.0,0.48136088,128.0
0.33569118,0.0,0.48980597,128.0
0.31094646,0.0,0.4499021,128.0
0.32832062,0.0,0.4710745,128.0
0.3055003,0.0,0.43468297,128.0
0.3184801,0.0,0.44938967,128.0
0.3089048,0.0,0.4322702,128.0
0.31059995,0.0,0.4310538,128.0
0.3122903,0.0,0.42983073,128.0
0.31397584,0.0,0.4286011,128.0
0.31328005,0.0,0.42414728,128.0
0.30329633,0.0,0.40727404,128.0
0.3166016,0.0,0.42167372,128.0
0.30648568,0.0,0.40487942,128.0
0.31990358,0.0,0.41917416,128.0
0.30489972,0.0,0.39627787,128.0
0.29450184,0.0,0.37966952,128.0
0.29599056,0.0,0.37851006,128.0
0.29747465,0.0,0.3773448,128.0
0.29895416,0.0,0.3761737,128.0
0.31749824,0.0,0.39630252,128.0
0.28468388,0.0,0.3524978,128.0
0.28852823,0.0,0.35440153,128.0
0.2899177,0.0,0.3532658,128.0
0.29882437,0.0,0.3612166,128.0
0.30273828,0.0,0.3630356,128.0
0.31921846,0.0,0.3797562,128.0
0.3055802,0.0,0.36064667,128.0
0.2942649,0.0,0.34453994,128.0
0.30840325,0.0,0.35823557,128.0
0.2790694,0.0,0.32159898,128.0
0.2931682,0.0,0.33517832,128.0
0.29964042,0.0,0.3398753,128.0
0.3009728,0.0,0.33869603,128.0
0.3023005,0.0,0.3375115,128.0
0.2983968,0.0,0.3305321,128.0
0.29969248,0.0,0.32935774,128.0
0.28780326,0.0,0.31380713,128.0
0.28903335,0.0,0.31267452,128.0
0.29025897,0.0,0.3115371,128.0
0.29148015,0.0,0.31039482,128.0
0.2926968,0.0,0.30924782,128.0
0.29390898,0.0,0.308096,128.0
0.2951166,0.0,0.30693945,128.0
0.29631966,0.0,0.3057782,128.0
0.3002432,0.0,0.3074022,128.0
0.30144805,0.0,0.30622077,128.0
0.28616706,0.0,0.28842348,128.0
0.32039008,0.0,0.32039008,128.0
0.30780315,0.0,0.30539513,128.0
0.30622077,0.0,0.30144805,128.0
0.30740216,0.0,0.30024323,128.0
0.31137958,0.0,0.3017478,128.0
0.30975077,0.0,0.29781964,128.0
0.3334933,0.0,0.3181368,128.0
0.31491277,0.0,0.29805857,128.0
0.3160808,0.0,0.29681963,128.0
